City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,soni,-4.9714,38.4026,17.65,91,92,0.55,TZ,1719459020
1,mariehamn,60.6076,20.4207,15.6,88,0,3.28,AX,1719459021
2,mehran,33.3843,45.9706,30.31,11,0,1.42,IR,1719459023
3,lebu,55.7801,35.3466,17.18,74,6,1.74,RU,1719459024
4,kalimpong,-35.0014,150.966,20.14,34,3,7.95,AU,1719459025
5,pierre,27.025,88.589,25.66,61,100,2.22,IN,1719459026
6,whitehouse,60.6981,87.4919,28.68,41,100,2.32,RU,1719459026
7,puerto san carlos,43.0671,-101.1573,20.84,76,99,4.8,US,1719459027
8,tandil,-77.1027,172.8776,-36.89,100,75,2.89,AQ,1719459027
9,petropavlovsk-kamchatsky,32.1538,-95.3722,26.88,85,58,2.28,US,1719459027
10,sterling,-37.0255,-59.066,8.61,55,99,6.22,AR,1719459029
11,turabah,-45.0213,168.9657,4.71,86,17,1.91,NZ,1719459030
12,opuwo,78.691,11.37,2.81,85,100,10.44,SJ,1719459031
13,emerald,41.8797,-89.8865,22.99,79,0,3.55,US,1719459031
14,tazovsky,10.7893,-83.0982,28.31,77,100,2.84,CR,1719459032
15,ola,53.5344,105.8757,21.9,51,61,1.83,RU,1719459032
16,xilin hot,66.4007,132.7219,4.82,46,100,5.94,RU,1719459033
17,mejit,68.3325,-95.207,6.28,81,64,1.74,CA,1719459034
18,caxito,20.9692,41.3703,29.19,10,68,6.71,SA,1719459034
19,kisangani,-22.3904,-174.3951,22.17,69,98,4.79,TO,1719459034
20,lihue,63.9972,143.1384,5.17,75,98,2.25,RU,1719459035
21,mili,-24.9996,143.1329,23.95,38,1,4.52,AU,1719459035
22,kudahuvadhoo,59.6807,151.3072,8.63,89,100,0.44,RU,1719459036
23,salida,49.4835,-125.8015,10.17,100,100,1.14,CA,1719459036
24,ilulissat,45.2056,115.0605,26.58,33,47,5.07,MN,1719459038
25,tromso,-8.5317,13.4671,21.45,97,33,1.3,AO,1719459039
26,kegeyli shahar,-8.4908,144.5486,27.25,82,100,2.26,PG,1719459039
27,padang,60.3969,45.2104,11.2,78,100,2.97,RU,1719459040
28,hamilton,0.7594,26.1892,22.67,70,95,0.8,CD,1719459041
29,hawaiian paradise park,36.6856,27.7249,26.04,69,0,5.55,TR,1719459041
30,okha,13.3175,30.419,29.21,49,27,4.64,SD,1719459041
31,badger,4.0503,171.9384,29.14,75,80,5.7,KI,1719459042
32,bilibino,17.3193,-25.0513,21.86,78,100,4.65,CV,1719459043
33,huarmey,38.6279,-106.343,10.47,80,100,0.0,US,1719459044
34,maddela,6.1236,-0.799,22.26,100,96,0.42,GH,1719459045
35,tucurui,18.194,-15.8993,21.98,88,1,6.69,MR,1719459046
36,kapoeta,58.3863,161.0124,15.56,64,87,2.57,RU,1719459047
37,polovinnoye,27.8428,32.1184,24.93,36,0,2.91,EG,1719459048
38,lazaro cardenas,42.8277,60.0753,35.8,15,33,7.76,UZ,1719459050
39,nefta,62.3352,20.2173,13.57,91,1,3.98,FI,1719459050
40,punakha,-2.35,99.4846,28.63,75,79,0.69,ID,1719459052
41,cargados carajos,-24.3415,31.0322,16.27,88,5,3.6,ZA,1719459052
42,pishva,42.5807,58.3503,32.11,28,73,3.16,UZ,1719459053
43,fuxin,-9.8128,36.2724,16.88,77,57,0.84,TZ,1719459053
44,greenland,52.3032,-58.292,12.29,97,100,5.02,CA,1719459054
45,resplendor,52.7846,120.4938,21.46,58,95,2.4,RU,1719459055
46,awjilah,49.6958,142.7235,23.76,49,8,2.53,RU,1719459056
47,garoua boulai,66.4641,67.0867,15.81,94,100,5.48,RU,1719459059
48,seminole,-6.0308,144.4199,16.22,78,100,1.18,PG,1719459060
49,wajir,-3.9561,122.0128,29.81,55,8,1.82,ID,1719459061
50,prince rupert,15.9731,122.1298,29.07,75,99,3.88,PH,1719459062
51,maubara,21.0284,10.5809,32.09,13,1,5.25,NE,1719459062
52,kingston,22.732,79.4635,31.31,59,57,3.44,IN,1719459062
53,invercargill,-3.6989,-49.62,23.53,80,43,1.5,BR,1719459062
54,namibe,16.7326,-14.4476,25.77,51,20,5.18,SN,1719459064
55,cururupu,-1.6944,-58.6135,24.11,78,57,0.54,BR,1719459065
56,elliot lake,4.9426,35.0415,28.09,44,100,7.23,ET,1719459065
57,katsuura,54.1518,66.2629,19.9,60,99,2.39,KZ,1719459066
58,kuqa,30.3503,32.7481,22.12,75,0,3.03,EG,1719459067
59,tommot,50.0389,-128.6535,12.14,93,100,5.64,CA,1719459067
60,shahrak,-7.2389,119.0073,27.94,75,10,6.62,ID,1719459067
